Security,SPX Index,
Start Date,12/30/27 0:00,
End Date,4/4/24 0:00,
Period,D,
Currency,USD,
,,
Date,PX_LAST,PX_VOLUME
2021-07-28,4400.64,533657992
2021-07-27,4401.46,531510830
2021-07-26,4422.3,497708180
2021-07-23,4411.79,443919175
2021-07-22,4367.48,457945741
2021-07-21,4358.69,558817185
2021-07-20,4323.06,692840006
2021-07-19,4258.49,724701580
2021-07-16,4327.16,587319408
2021-07-15,4360.03,514704177
2021-07-14,4374.3,526771628
2021-07-13,4369.21,447201119
2021-07-12,4384.63,480701619
2021-07-09,4369.55,517859179
2021-07-08,4320.82,562095212
2021-07-07,4358.13,518731259
2021-07-06,4343.54,579836362
2021-07-02,4352.34,433797296
2021-07-01,4319.94,491252688
2021-06-30,4297.5,586723611
2021-06-29,4291.8,464266876
2021-06-28,4290.61,534470535
2021-06-25,4280.7,1020842135
2021-06-24,4266.49,488899252
2021-06-23,4241.84,476502799
2021-06-22,4246.44,518151273
2021-06-21,4224.79,585617106
2021-06-18,4166.45,1602813284
2021-06-17,4221.86,692607231
2021-06-16,4223.7,608208040
2021-06-15,4246.59,496016796
2021-06-14,4255.15,502609179
2021-06-11,4247.44,466454827
2021-06-10,4239.18,514102430
2021-06-09,4219.55,490279644
2021-06-08,4227.26,582092984
2021-06-07,4226.52,467143647
2021-06-04,4229.89,465931759
2021-06-03,4192.85,560056029
2021-06-02,4208.12,552370467
2021-06-01,4202.04,556072392
2021-05-28,4204.11,583005905
2021-05-27,4200.88,1294689893
2021-05-26,4195.99,565352447
2021-05-25,4188.13,536415469
2021-05-24,4197.05,491196272
2021-05-21,4155.86,661555886
2021-05-20,4159.12,570286974
2021-05-19,4115.68,669726651
2021-05-18,4127.83,582592424
2021-05-17,4163.29,571758354
2021-05-14,4173.85,501702759
2021-05-13,4112.5,574425439
2021-05-12,4063.04,652754704
2021-05-11,4152.1,601429054
2021-05-10,4188.43,627898357
2021-05-07,4232.6,541938360
2021-05-06,4201.62,601702899
2021-05-05,4167.59,574161146
2021-05-04,4164.66,647398683
2021-05-03,4192.66,574622074
2021-04-30,4181.17,738271693
2021-04-29,4211.47,603848011
2021-04-28,4183.18,555786121
2021-04-27,4186.72,518563989
2021-04-26,4187.62,535480152
2021-04-23,4180.17,530028545
2021-04-22,4134.98,586661634
2021-04-21,4173.42,552948853
2021-04-20,4134.94,542835759
2021-04-19,4163.26,545994739
2021-04-16,4185.47,670059948
2021-04-15,4170.42,556701817
2021-04-14,4124.66,547124390
2021-04-13,4141.59,523803668
2021-04-12,4127.99,526549650
2021-04-09,4128.8,510310239
2021-04-08,4097.17,542499615
2021-04-07,4079.95,489011089
2021-04-06,4073.94,571848602
2021-04-05,4077.91,594159826
2021-04-01,4019.87,549284531
2021-03-31,3972.89,790771508
2021-03-30,3958.55,549283687
2021-03-29,3971.09,636567073
2021-03-26,3974.54,719734914
2021-03-25,3909.52,632391622
2021-03-24,3889.14,612118414
2021-03-23,3910.52,666674313
2021-03-22,3940.59,677313651
2021-03-19,3913.1,2323804160
2021-03-18,3915.46,700494694
2021-03-17,3974.12,652793730
2021-03-16,3962.71,606621337
2021-03-15,3968.94,599944987
2021-03-12,3943.34,590613509
2021-03-11,3939.34,633849717
2021-03-10,3898.81,670320910
2021-03-09,3875.44,709867490
2021-03-08,3821.35,756663265
2021-03-05,3841.94,829073409
2021-03-04,3768.47,851214121
2021-03-03,3819.72,684624424
2021-03-02,3870.29,633092916
2021-03-01,3901.82,633792527
2021-02-26,3811.15,961817673
2021-02-25,3829.34,712863893
2021-02-24,3925.43,697584269
2021-02-23,3881.37,755513123
2021-02-22,3876.5,692050940
2021-02-19,3906.71,665244935
2021-02-18,3913.97,520398470
2021-02-17,3931.33,542976243
2021-02-16,3932.59,593684504
2021-02-12,3934.83,458852302
2021-02-11,3916.38,586186522
2021-02-10,3909.88,559418199
2021-02-09,3911.23,485445853
2021-02-08,3915.59,573323029
2021-02-05,3886.83,537391393
2021-02-04,3871.74,611413717
2021-02-03,3830.17,617247578
2021-02-02,3826.31,647254387
2021-02-01,3773.86,630171700
2021-01-29,3714.24,1022917103
2021-01-28,3787.38,846769912
2021-01-27,3750.77,967706350
2021-01-26,3849.62,590568091
2021-01-25,3855.36,675231340
2021-01-22,3841.47,621450991
2021-01-21,3853.07,620776708
2021-01-20,3851.85,644495073
2021-01-19,3798.91,683059345
2021-01-15,3768.25,852165927
2021-01-14,3795.54,678176083
2021-01-13,3809.84,604769130
2021-01-12,3801.19,658562767
2021-01-11,3799.61,613612883
2021-01-08,3824.68,649780644
2021-01-07,3803.79,706082190
2021-01-06,3748.14,827613906
2021-01-05,3726.86,603798418
2021-01-04,3700.65,761648794
2020-12-31,3756.07,499581043
2020-12-30,3732.04,411831440
2020-12-29,3727.04,428879441
2020-12-28,3735.36,429214693
2020-12-24,3703.06,206543748
2020-12-23,3690.01,489952813
2020-12-22,3687.26,582735339
2020-12-21,3694.92,747465183
2020-12-18,3709.41,2134538109
2020-12-17,3722.48,601682490
2020-12-16,3701.17,626487729
2020-12-15,3694.62,631936206
2020-12-14,3647.49,702282276
2020-12-11,3663.46,568895511
2020-12-10,3668.1,623846059
2020-12-09,3672.82,698302625
2020-12-08,3702.25,548025837
2020-12-07,3691.96,584180795
2020-12-04,3699.12,598563920
2020-12-03,3666.72,614889288
2020-12-02,3669.01,601656668
2020-12-01,3662.45,639946513
2020-11-30,3621.63,1335387969
2020-11-27,3638.35,294230124
2020-11-25,3629.65,565389275
2020-11-24,3635.41,756429996
